Temperature,Partition Functions
300.36036036036035,1.1777121102950546e+254
301.35135135135135,1.1894076315502509e+254
302.34234234234236,1.2011803275316205e+254
303.3333333333333,1.213030452027497e+254
304.3243243243243,1.2249582588262224e+254
305.31531531531533,1.23696400171613e+254
306.3063063063063,1.2490479344855583e+254
307.2972972972973,1.2612103109228433e+254
308.2882882882883,1.2734513848163257e+254
309.27927927927925,1.2857714099543384e+254
310.27027027027026,1.2981706401252218e+254
311.26126126126127,1.3106493291173114e+254
312.2522522522522,1.323207730718944e+254
313.2432432432432,1.335846098718457e+254
314.23423423423424,1.34856468690419e+254
315.22522522522524,1.361363749064477e+254
316.2162162162162,1.374243538987657e+254
317.2072072072072,1.3872043104620678e+254
318.1981981981982,1.4002463172760447e+254
319.18918918918916,1.4133698132179253e+254
320.1801801801802,1.4265750520760475e+254
321.1711711711712,1.439862287638747e+254
322.16216216216213,1.4532317736943625e+254
323.15315315315314,1.4666837640312316e+254
324.14414414414415,1.4802185124376915e+254
325.1351351351351,1.4938362727020767e+254
326.1261261261261,1.5075372986127273e+254
327.1171171171171,1.5213218439579796e+254
328.1081081081081,1.535190162526169e+254
329.0990990990991,1.549142508105637e+254
330.0900900900901,1.563179134484718e+254
331.0810810810811,1.5773002954517456e+254
332.07207207207205,1.5915062447950634e+254
333.06306306306305,1.6057972363030073e+254
334.05405405405406,1.6201735237639104e+254
335.045045045045,1.634635360966115e+254
336.036036036036,1.6491830016979538e+254
337.02702702702703,1.6638166997477679e+254
338.01801801801804,1.6785367089038897e+254
339.009009009009,1.693343282954663e+254
340.0,1.7082366756884199e+254
340.990990990991,1.723217140893497e+254
341.98198198198196,1.738284932358236e+254
342.97297297297297,1.7534403038709693e+254
343.963963963964,1.7686835092200377e+254
344.9549549549549,1.7840148021937767e+254
345.94594594594594,1.7994344365805236e+254
346.93693693693695,1.8149426661686186e+254
347.9279279279279,1.830539744746392e+254
348.9189189189189,1.8462259261021855e+254
349.9099099099099,1.8620014640243398e+254
350.9009009009009,1.8778666123011868e+254
351.8918918918919,1.8938216247210624e+254
352.8828828828829,1.9098667550723099e+254
353.8738738738739,1.9260022571432578e+254
354.86486486486484,1.9422283847222528e+254
355.85585585585585,1.958545391597626e+254
356.84684684684686,1.9749535315577187e+254
357.8378378378378,1.9914530583908645e+254
358.8288288288288,2.0080442258854016e+254
359.8198198198198,2.0247272878296675e+254
360.8108108108108,2.041502498011997e+254
361.8018018018018,2.0583701102207338e+254
362.7927927927928,2.075330378244209e+254
363.7837837837838,2.0923835558707624e+254
364.77477477477476,2.1095298968887288e+254
365.76576576576576,2.126769655086449e+254
366.7567567567568,2.1441030842522576e+254
367.7477477477477,2.1615304381744908e+254
368.73873873873873,2.1790519706414893e+254
369.72972972972974,2.1966679354415885e+254
370.7207207207207,2.214378586363123e+254
371.7117117117117,2.2321841771944353e+254
