,E (iso),E (SOC),E (SOC+CFS),A (iso),A (SOC),A (SOC+CFS,S (iso),S (SOC),S (SOC+CFS
1188.2882882882882,-0.0,0.022309968455942908,0.03694136443959195,-0.27023620318017033,-0.1919763250437438,0.3377544691864008,0.00022741636507202234,0.0001803318588948083,-0.00012120994416012221
1189.9899899899901,-1.4210854715202004e-14,0.022390386644943305,0.03704145105803747,-0.27062319799560824,-0.19228325364462165,0.3379606998976239,0.00022741636507200846,0.00018039948620039714,-0.00012117197442881866
1191.6916916916916,-0.0,0.022470838629132572,0.037141545102365114,-0.27101019281104605,-0.19259029726905044,0.33816686629656895,0.00022741636507203622,0.00018046704524667112,-0.00012113435725294441
1193.3933933933936,-1.4210854715202004e-14,0.0225513238177939,0.0372416460838636,-0.271397187626484,-0.19289745580061632,0.33837296898136765,0.00022741636507202234,0.00018053453573316225,-0.00012109709036875471
1195.095095095095,1.4210854715202004e-14,0.0226318416228537,0.03734175351599589,-0.2717841824419218,-0.19320472912239656,0.3385790085460722,0.00022741636507199459,0.00018060195736278872,-0.00012106017154021875
1196.7967967967968,-0.0,0.022712391458654224,0.03744186691420737,-0.2721711772573597,-0.19351211711696614,0.33878498558120423,0.00022741636507200846,0.0001806693098418341,-0.00012102359862246892
1198.4984984984985,1.4210854715202004e-14,0.022792972742081474,0.037541985796018196,-0.27255817207279753,-0.1938196196664028,0.33899090067351606,0.00022741636507200846,0.0001807365928798571,-0.00012098736945154176
1200.2002002002002,-0.0,0.022873584892423082,0.037642109680966485,-0.2729451668882354,-0.19412723665229298,0.3391967544061644,0.00022741636507202234,0.0001808038061897957,-0.00012095148181036353
1201.901901901902,-0.0,0.0229542273316099,0.037742238090743285,-0.2733321617036733,-0.19443496795573745,0.3394025473583561,0.00022741636507202234,0.00018087094948785604,-0.00012091593353741326
1203.6036036036037,-1.4210854715202004e-14,0.023034899483860727,0.03784237054900075,-0.27371915651911116,-0.19474281345735675,0.3396082801058914,0.00022741636507200846,0.00018093802249347785,-0.00012088072252115778
1205.3053053053054,-1.4210854715202004e-14,0.023115600776066003,0.03794250658149423,-0.274106151334549,-0.19505077303729684,0.3398139532207905,0.00022741636507202234,0.00018100502492943843,-0.00012084584657917619
1207.007007007007,-0.0,0.023196330637532014,0.03804264571603966,-0.2744931461499868,-0.19535884657523467,0.34001956727142607,0.00022741636507202234,0.00018107195652170005,-0.00012081130362981418
1208.7087087087089,-0.0,0.023277088499995102,0.038142787482442486,-0.2748801409654248,-0.19566703395038373,0.3402251228227338,0.00022741636507203622,0.00018113881699943074,-0.00012077709158336836
